Gene	C42B_siZFX_rep1	C42B_siZFX_rep2	C42B_siZFX_rep3	C42B_siCtrl_rep1	C42B_siCtrl_rep2	C42B_siCtrl_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
AC004769.1	nan	nan	nan	nan	nan	nan
AC004771.1	0.333012	0.162195	0.195519	0.372472	0.289461	0.322251
AC004775.5	nan	nan	nan	nan	nan	nan
AC004791.2	nan	nan	nan	nan	nan	nan
AC004797.1	40.9479	38.2329	39.8488	45.3605	45.2657	45.3714
AC004812.1	nan	nan	nan	nan	nan	nan
AC004817.1	nan	nan	nan	nan	nan	nan
AC004824.1	nan	nan	nan	nan	nan	nan
AC004824.2	nan	nan	nan	nan	nan	nan
AC004832.1	nan	nan	nan	nan	nan	nan
AC004837.3	nan	nan	nan	nan	nan	nan
AC004837.4	nan	nan	nan	nan	nan	nan
AC004837.5	nan	nan	nan	nan	nan	nan
AC004840.8	nan	nan	nan	nan	nan	nan
AC004840.9	0.70765	0.749497	0.815944	1.24729	1.00496	1.15661
AC004851.1	nan	nan	nan	nan	nan	nan
AC004854.4	nan	nan	nan	nan	nan	nan
AC004854.5	nan	nan	nan	nan	nan	nan
AC004862.6	nan	nan	nan	nan	nan	nan
AC004866.1	nan	nan	nan	nan	nan	nan
AC004866.3	nan	nan	nan	nan	nan	nan
